title,category,description,Цена из файла,height_cm,diameter_cm,branches,discount_pct,price,offer,id,photos,active,,Насколько изменилась цена?,,,,,,,
Наименование,Категория,Описание ёлки,Оригинальная цена,Высота,Диаметр,Кол-во веток,% скидки,Цена на сайте,Цена без скидки,,Ссылка на фото,,,0%,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",46 000 ₽,230 см,160 см,1733 шт,-30%,46 000 ₽,65715,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",59 000 ₽,250 см,172 см,2135 шт,-30%,59 000 ₽,84286,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",69 500 ₽,270 см,184 см,2561 шт,-30%,69 500 ₽,99286,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",95 000 ₽,300 см,204 см,3773 шт,-30%,95 000 ₽,135715,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",23 000 ₽,150 см,116 см,461 шт,-30%,23 000 ₽,32858,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",34 900 ₽,185 см,132 см,869 шт,-30%,34 900 ₽,49858,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",49 000 ₽,215 см,148 см,1337 шт,-30%,49 000 ₽,70000,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",57 000 ₽,230 см,160 см,1733 шт,-30%,57 000 ₽,81429,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",72 000 ₽,250 см,172 см,2135 шт,-30%,72 000 ₽,102858,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",90 000 ₽,270 см,184 см,2561 шт,-30%,90 000 ₽,128572,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
Белла,Заснеженная с освещением,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",125 000 ₽,300 см,204 см,3773 шт,-30%,125 000 ₽,178572,2,https://lady-elka.ru/d/photo_2025-09-05_21-31-39.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-31-33.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Катрин,Зелёная,Самая широкая елка по диаметру нижних веток. Имеет правильную крону и густую хвою,19 000 ₽,150 см,128 см,565 шт,-30%,19 000 ₽,27143,3,https://lady-elka.ru/d/photo_2025-09-05_21-40-05.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-39-54.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Катрин,Зелёная,Самая широкая елка по диаметру нижних веток. Имеет правильную крону и густую хвою,29 000 ₽,185 см,158 см,985 шт,-30%,29 000 ₽,41429,3,https://lady-elka.ru/d/photo_2025-09-05_21-40-05.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-39-54.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Катрин,Зелёная,Самая широкая елка по диаметру нижних веток. Имеет правильную крону и густую хвою,39 000 ₽,215 см,170 см,1273 шт,-30%,39 000 ₽,55715,3,https://lady-elka.ru/d/photo_2025-09-05_21-40-05.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-39-54.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
